DATA;PRECIPITACAO_TOTAL_MM;TEMP_MEDIA_C;TEMP_MAXIMA_C;TEMP_MINIMA_C;UMIDADE_MEDIA;VENTO_VELOCIDADE_MEDIA_MS;CLASSIFICACAO_CHUVA;CLASSIFICACAO_ESTACAO;CLASSIFICACAO_VENTO;CLASSIFICACAO_UMIDADE;DIA_SEMANA;FERIADO
2024-01-01 00:00:00;0;21,99;25,4;18,8;70,5;1,43;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;CONFRATERNIZACAO UNIVERSAL
2024-01-02 00:00:00;3,2;22,43;29,5;19,3;76,36;1,4;CHUVA_MEDIA;VERAO;BRISA_LEVE;MUITO_ALTA;TERÇA-FEIRA;
2024-01-03 00:00:00;13;23,34;30,7;20;78,71;1,2;CHUVA_FORTE;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;
2024-01-04 00:00:00;0,4;21,74;26;18,8;87,32;2,25;CHUVA_FRACA;VERAO;BRISA_FRACA;MUITO_ALTA;QUINTA-FEIRA;
2024-01-05 00:00:00;0;22,5;28,4;19;78,38;1,61;SEM_CHUVA;VERAO;BRISA_FRACA;MUITO_ALTA;SEXTA-FEIRA;
2024-01-06 00:00:00;0;23,52;28,4;20;71,05;1,04;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SÁBADO;
2024-01-07 00:00:00;0;24,52;33,2;19,3;68,62;0,94;SEM_CHUVA;VERAO;BRISA_LEVE;ALTA_UMIDADE;DOMINGO;
2024-01-08 00:00:00;3,2;25,08;33,4;20;72,67;0,89;CHUVA_MEDIA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;
2024-01-09 00:00:00;0;24,6;33,3;18,5;73,22;0,63;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;TERÇA-FEIRA;
2024-01-10 00:00:00;39,8;25,97;32,9;20,4;67,08;0,78;CHUVA_FORTE;VERAO;BRISA_LEVE;ALTA_UMIDADE;QUARTA-FEIRA;
2024-01-11 00:00:00;6,2;24,85;30,5;21;79,33;1,25;CHUVA_MEDIA;VERAO;BRISA_LEVE;MUITO_ALTA;QUINTA-FEIRA;
2024-01-12 00:00:00;2,6;22,58;27;20,6;91,94;1,78;CHUVA_MEDIA;VERAO;BRISA_FRACA;MUITO_ALTA;SEXTA-FEIRA;
2024-01-13 00:00:00;0;20,35;22;18,7;94,76;2,51;SEM_CHUVA;VERAO;BRISA_FRACA;MUITO_ALTA;SÁBADO;
2024-01-14 00:00:00;0;23,89;31;17,1;75,15;0,78;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;DOMINGO;
2024-01-15 00:00:00;0;25,26;30,6;20,2;76,32;0,95;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;
2024-01-16 00:00:00;0;26,95;31,5;21,9;67,7;0,7;SEM_CHUVA;VERAO;BRISA_LEVE;ALTA_UMIDADE;TERÇA-FEIRA;
2024-01-17 00:00:00;0;26,47;31,5;22,5;72,48;0,72;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;
2024-01-18 00:00:00;0;26,09;33,6;21,1;78,19;0,72;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUINTA-FEIRA;
2024-01-19 00:00:00;0;24,45;29,8;20,2;79,38;1,51;SEM_CHUVA;VERAO;BRISA_FRACA;MUITO_ALTA;SEXTA-FEIRA;
2024-01-20 00:00:00;0;23,57;27,2;20,3;84,09;1,43;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SÁBADO;
2024-01-21 00:00:00;0;21,22;27,2;19,7;94,29;1,03;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;DOMINGO;
2024-01-22 00:00:00;0;20,69;25,2;17,9;89,1;1,46;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;
2024-01-23 00:00:00;0;18,7;19,8;16,9;91,1;1,38;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;TERÇA-FEIRA;
2024-01-24 00:00:00;0;18,85;23,8;15,6;85,95;1,26;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;
2024-01-25 00:00:00;0;18,01;21,1;16,3;87,68;2,71;SEM_CHUVA;VERAO;BRISA_FRACA;MUITO_ALTA;QUINTA-FEIRA;
2024-01-26 00:00:00;0;17,98;22,2;15,2;85,4;2,06;SEM_CHUVA;VERAO;BRISA_FRACA;MUITO_ALTA;SEXTA-FEIRA;
2024-01-27 00:00:00;0;20,16;25,9;17,1;85,25;0,64;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SÁBADO;
2024-01-28 00:00:00;0;20,54;24,2;17,3;85,33;0,15;SEM_CHUVA;VERAO;CALMARIA;MUITO_ALTA;DOMINGO;
2024-01-29 00:00:00;0;23,48;28,2;17,2;71,93;0,73;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;
2024-01-30 00:00:00;0;24,32;31,4;17,8;68;0,61;SEM_CHUVA;VERAO;BRISA_LEVE;ALTA_UMIDADE;TERÇA-FEIRA;
2024-01-31 00:00:00;0;23,28;29,4;18,2;75,48;0,34;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;
2024-02-01 00:00:00;0;20,38;26,4;16,5;86,2;0,5;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUINTA-FEIRA;
2024-02-02 00:00:00;0;19,95;23,1;18,1;92;0,72;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEXTA-FEIRA;
2024-02-03 00:00:00;0;22,2;26,3;17,9;82,67;0,05;SEM_CHUVA;VERAO;CALMARIA;MUITO_ALTA;SÁBADO;
2024-02-04 00:00:00;0;22,6;29,4;19,1;81,86;0,38;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;DOMINGO;
2024-02-05 00:00:00;0;22,9;30,3;16,5;71,91;0,35;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;
2024-02-06 00:00:00;0;23,13;28,5;17,7;76,36;0,35;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;TERÇA-FEIRA;
2024-02-07 00:00:00;0;24,21;30,8;18,5;76,24;0,35;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;
2024-02-08 00:00:00;0;24,76;32,1;18,6;72,5;0,26;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUINTA-FEIRA;
2024-02-09 00:00:00;0;25,1;32,3;19,3;70,39;0,49;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEXTA-FEIRA;
2024-02-10 00:00:00;0;25,52;31,1;21,4;68,78;0,5;SEM_CHUVA;VERAO;BRISA_LEVE;ALTA_UMIDADE;SÁBADO;
2024-02-11 00:00:00;0;25,14;32,3;19,1;71,7;0,22;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;DOMINGO;
2024-02-12 00:00:00;0;25,19;30,4;19,8;75;0,37;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;
2024-02-13 00:00:00;0;26,89;32;21,3;63,16;0,74;SEM_CHUVA;VERAO;BRISA_LEVE;ALTA_UMIDADE;TERÇA-FEIRA;
2024-02-14 00:00:00;0;21,95;27;20;93,6;0,67;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;
2024-02-15 00:00:00;0;19,68;20,5;18;98,94;1,96;SEM_CHUVA;VERAO;BRISA_FRACA;MUITO_ALTA;QUINTA-FEIRA;
2024-02-16 00:00:00;0;20,83;26;17,7;87,05;0,64;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEXTA-FEIRA;
2024-02-17 00:00:00;0;22,5;27,8;19,2;77,52;0,71;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SÁBADO;
2024-02-18 00:00:00;0;21,23;27,8;18,8;87,3;0,43;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;DOMINGO;
2024-02-19 00:00:00;0;22,72;29,2;18,2;81,78;0,59;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;SEGUNDA-FEIRA;VESPERA DE CARNAVAL
2024-02-20 00:00:00;0;22,04;25,2;19,4;86,31;0,71;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;TERÇA-FEIRA;CARNAVAL
2024-02-21 00:00:00;0;20,73;27,1;18,7;92,86;0,43;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUARTA-FEIRA;CARNAVAL
2024-02-22 00:00:00;0;23,62;30;19,4;82,91;0,41;SEM_CHUVA;VERAO;BRISA_LEVE;MUITO_ALTA;QUINTA-FEIRA;
